name,company_number,town,postcode,account_category,size_score,size_band,sectors,website
Forest Of Dean Railway Limited,01714404,Lydney,GL15,GROUP,100,large,creative_events,https://find-and-update.company-information.service.gov.uk/company/01714404
Friends Of Westonbirt Arboretum,04965522,Arboretum Tetbury,GL8,GROUP,100,large,business_professional,https://find-and-update.company-information.service.gov.uk/company/04965522
George Bence & Sons Limited,00062473,Cheltenham,GL52,GROUP,100,large,hospitality_retail,https://find-and-update.company-information.service.gov.uk/company/00062473
Gloucester Diocesan Board Of Finance,00162165,Gloucester,GL1,GROUP,100,large,business_professional,https://find-and-update.company-information.service.gov.uk/company/00162165
Gloucestershire Everyman Theatre Company Limited,00650220,Gloucestershire,GL50,GROUP,100,large,creative_events,https://find-and-update.company-information.service.gov.uk/company/00650220
Gloucestershire Wildlife Trust,00708575,Gloucester,GL4,GROUP,100,large,business_professional,https://find-and-update.company-information.service.gov.uk/company/00708575
Hercules PLC,06607001,Cirencester,GL7,GROUP,100,large,construction_green,https://find-and-update.company-information.service.gov.uk/company/06607001
Hollingsworth And Vose Company (U.K.) Limited,01664523,Cheltenham,GL54,GROUP,100,large,aerospace_manufacturing,https://find-and-update.company-information.service.gov.uk/company/01664523
Howard Tenens Limited,06690158,Stroud,GL5,GROUP,100,large,business_professional,https://find-and-update.company-information.service.gov.uk/company/06690158
Huntington House (Hldgs) Ltd,09269713,Cheltenham,GL50,GROUP,100,large,health_care,https://find-and-update.company-information.service.gov.uk/company/09269713
Ibidem Capital Limited,08132942,Cheltenham,GL50,GROUP,100,large,cyber_digital,https://find-and-update.company-information.service.gov.uk/company/08132942
Innova Capital Limited,09697757,Cheltenham,GL50,GROUP,100,large,business_professional,https://find-and-update.company-information.service.gov.uk/company/09697757
Innova Renewables Limited,12092691,Cheltenham,GL50,GROUP,100,large,construction_green,https://find-and-update.company-information.service.gov.uk/company/12092691
Insuco Intl Limited,06963518,Moreton-In-Marsh,GL56,GROUP,100,large,business_professional,https://find-and-update.company-information.service.gov.uk/company/06963518
Jammac Care Group Limited,11134019,Stroud,GL5,GROUP,100,large,health_care,https://find-and-update.company-information.service.gov.uk/company/11134019
